status,parameter_provenance,n_air,n_glass,n_water,camera_to_inner_interface_m,glass_thickness_m,field_band,disparity_band,correspondence_count,z_left_camera_median,z_left_camera_mean,ray_gap_median,relative_to_custom_pinhole_median,relative_to_custom_pinhole_p95
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.01,mid_fov,far_disparity,415,3.0328760129147097,3.112778808404486,0.0014776867172816932,0.2989884041061244,0.3199727231162745
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.01,mid_fov,mid_disparity,335,2.855508701314447,2.8552626802712715,0.0016893578119052718,0.29884308368577917,0.3210021919313245
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.01,mid_fov,near_disparity,429,2.7468097909925655,2.7494192341732964,0.001908378465983991,0.3040441276725141,0.3245169577050452
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.01,near_edge,far_disparity,339,3.111750355952693,3.229271642041625,0.0016101661601497417,0.33295516828848903,0.3889295248438634
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.01,near_edge,mid_disparity,353,2.8774336995396395,2.8764323807640046,0.0011494753213046303,0.3179896488840708,0.341769596088345
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.01,0.01,near_edge,near_disparity,268,2.7712029486832526,2.770335163986543,0.00367499814035318,0.321173174699913,0.43553527370215683
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.003,central,far_disparity,39,3.0085432036699675,3.048083723833042,0.002258039591772266,0.2846950167125708,0.2883601039490842
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.003,central,mid_disparity,104,2.8430102880559045,2.843302073240884,0.0016839662462002007,0.28516847975393,0.2896883222282249
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.003,central,near_disparity,96,2.7301153955738964,2.738493670690456,0.001722226197104377,0.28808819009308695,0.2937871392543489
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.003,mid_fov,far_disparity,415,3.029130067470791,3.109126901413039,0.0014780999365178985,0.2974081982250778,0.3182058460512276
hypothetical_sensitivity_only,hypothetical_grid_not_measured,1.0,1.47,1.33,0.02,0.003,mid_fov,mid_disparity,335,2.8517771063532513,2.8515941591749923,0.0016881213227783688,0.2971772061745863,0.31920658670494484
